time,mass flow base,mass flow out,mass flow in,power peak,power base,battery,power total,loss,heat in,heat out
7771,333.3333333333333,139.5559624957076,0.0,125.60036624613684,300.0,5027.800912673186,425.60036624613684,10.928346825544075,0.0,247.57227746738528
7772,333.3333333333333,139.5559624957076,0.0,125.60036624613684,300.0,4769.300288380257,425.60036624613684,10.366474045384448,0.0,247.57227746738528
7773,333.3333333333333,139.5559624957076,0.0,125.60036624613684,300.0,4511.361536867487,425.60036624613684,9.805822542821145,0.0,247.57227746738528
7774,333.3333333333333,139.5559624957076,0.0,125.60036624613684,300.0,4253.983436857281,425.60036624613684,9.246389663304912,0.0,247.57227746738528
7775,333.3333333333333,139.5559624957076,0.0,125.60036624613684,300.0,3997.1647697265907,425.60036624613684,8.688172758056385,0.0,247.57227746738528
7776,333.3333333333333,139.5559624957076,0.0,125.60036624613684,300.0,3740.904319501149,425.60036624613684,8.131169184053546,0.0,247.57227746738528
7777,333.3333333333333,139.5559624957076,0.0,125.60036624613684,300.0,3485.2008728497103,425.60036624613684,7.575376304019203,0.0,247.57227746738528
7778,333.3333333333333,0.0,0.0,0.0,300.0,3230.0532190783056,300.0,7.020791486408507,0.0,0.0
7779,0.0,0.0,333.3333333333333,0.0,0.0,3223.032427591897,0.0,7.005531207474251,703.3333333333334,0.0
7780,30.571745967006507,0.0,302.7615873663268,0.0,27.51457137030586,3919.3602297177563,27.51457137030586,8.51905806704401,638.8269493429495,0.0
7781,333.3333333333333,139.5559624957076,0.0,125.60036624613684,300.0,4549.668120993661,425.60036624613684,9.88908511512736,0.0,247.57227746738528
7782,333.3333333333333,139.5559624957076,0.0,125.60036624613684,300.0,4292.206758411149,425.60036624613684,9.329471257429304,0.0,247.57227746738528
7783,333.3333333333333,139.5559624957076,0.0,125.60036624613684,300.0,4035.305009686335,425.60036624613684,8.771073767370206,0.0,247.57227746738528
7784,333.3333333333333,139.5559624957076,0.0,125.60036624613684,300.0,3778.9616584515798,425.60036624613684,8.213890001073022,0.0,247.57227746738528
7785,333.3333333333333,139.5559624957076,0.0,125.60036624613684,300.0,3523.175490983121,425.60036624613684,7.657917320407392,0.0,247.57227746738528
7786,333.3333333333333,139.5559624957076,0.0,125.60036624613684,300.0,3267.9452961953284,425.60036624613684,7.1031530929771565,0.0,247.57227746738528
7787,333.3333333333333,139.5559624957076,0.0,125.60036624613684,300.0,3013.2698656349658,425.60036624613684,6.549594692107889,0.0,247.57227746738528
7788,333.3333333333333,139.5559624957076,0.0,125.60036624613684,300.0,2759.1479934754725,425.60036624613684,5.997239496834463,0.0,247.57227746738528
7789,333.3333333333333,139.5559624957076,0.0,125.60036624613684,300.0,2505.5784765112526,425.60036624613684,5.446084891888631,0.0,247.57227746738528
7790,333.3333333333333,139.5559624957076,0.0,125.60036624613684,300.0,2252.5601141519783,425.60036624613684,4.89612826768666,0.0,247.57227746738528
7791,333.3333333333333,139.5559624957076,0.0,125.60036624613684,300.0,2000.0917084169062,425.60036624613684,4.347367020316961,0.0,247.57227746738528
7792,333.3333333333333,139.5559624957076,0.0,125.60036624613684,300.0,1748.172063929204,425.60036624613684,3.7997985515277657,0.0,247.57227746738528
7793,333.3333333333333,139.5559624957076,0.0,125.60036624613684,300.0,1496.7999879102908,425.60036624613684,3.2534202687148244,0.0,247.57227746738528
7794,333.3333333333333,139.5559624957076,0.0,125.60036624613684,300.0,1245.9742901741904,425.60036624613684,2.7082295849091302,0.0,247.57227746738528
7795,333.3333333333333,139.5559624957076,0.0,125.60036624613684,300.0,995.6937831218961,425.60036624613684,2.1642239187646695,0.0,247.57227746738528
7796,333.3333333333333,139.5559624957076,0.0,125.60036624613684,300.0,745.957281735746,425.60036624613684,1.6214006945462014,0.0,247.57227746738528
7797,333.3333333333333,139.5559624957076,0.0,125.60036624613684,300.0,496.7636035738147,425.60036624613684,1.0797573421170612,0.0,247.57227746738528
